"행정구역","2012년_거주자_총인구수","2012년_거주자_연령구간인구수","2012년_거주자_0~9세","2012년_거주자_10~19세","2012년_거주자_20~29세","2012년_거주자_30~39세","2012년_거주자_40~49세","2012년_거주자_50~59세","2012년_거주자_60~69세","2012년_거주자_70~79세","2012년_거주자_80~89세","2012년_거주자_90~99세","2012년_거주자_100세 이상","2012년_남_거주자_총인구수","2012년_남_거주자_연령구간인구수","2012년_남_거주자_0~9세","2012년_남_거주자_10~19세","2012년_남_거주자_20~29세","2012년_남_거주자_30~39세","2012년_남_거주자_40~49세","2012년_남_거주자_50~59세","2012년_남_거주자_60~69세","2012년_남_거주자_70~79세","2012년_남_거주자_80~89세","2012년_남_거주자_90~99세","2012년_남_거주자_100세 이상","2012년_여_거주자_총인구수","2012년_여_거주자_연령구간인구수","2012년_여_거주자_0~9세","2012년_여_거주자_10~19세","2012년_여_거주자_20~29세","2012년_여_거주자_30~39세","2012년_여_거주자_40~49세","2012년_여_거주자_50~59세","2012년_여_거주자_60~69세","2012년_여_거주자_70~79세","2012년_여_거주자_80~89세","2012년_여_거주자_90~99세","2012년_여_거주자_100세 이상","2013년_거주자_총인구수","2013년_거주자_연령구간인구수","2013년_거주자_0~9세","2013년_거주자_10~19세","2013년_거주자_20~29세","2013년_거주자_30~39세","2013년_거주자_40~49세","2013년_거주자_50~59세","2013년_거주자_60~69세","2013년_거주자_70~79세","2013년_거주자_80~89세","2013년_거주자_90~99세","2013년_거주자_100세 이상","2013년_남_거주자_총인구수","2013년_남_거주자_연령구간인구수","2013년_남_거주자_0~9세","2013년_남_거주자_10~19세","2013년_남_거주자_20~29세","2013년_남_거주자_30~39세","2013년_남_거주자_40~49세","2013년_남_거주자_50~59세","2013년_남_거주자_60~69세","2013년_남_거주자_70~79세","2013년_남_거주자_80~89세","2013년_남_거주자_90~99세","2013년_남_거주자_100세 이상","2013년_여_거주자_총인구수","2013년_여_거주자_연령구간인구수","2013년_여_거주자_0~9세","2013년_여_거주자_10~19세","2013년_여_거주자_20~29세","2013년_여_거주자_30~39세","2013년_여_거주자_40~49세","2013년_여_거주자_50~59세","2013년_여_거주자_60~69세","2013년_여_거주자_70~79세","2013년_여_거주자_80~89세","2013년_여_거주자_90~99세","2013년_여_거주자_100세 이상","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_0~9세","2014년_거주자_10~19세","2014년_거주자_20~29세","2014년_거주자_30~39세","2014년_거주자_40~49세","2014년_거주자_50~59세","2014년_거주자_60~69세","2014년_거주자_70~79세","2014년_거주자_80~89세","2014년_거주자_90~99세","2014년_거주자_100세 이상","2014년_남_거주자_총인구수","2014년_남_거주자_연령구간인구수","2014년_남_거주자_0~9세","2014년_남_거주자_10~19세","2014년_남_거주자_20~29세","2014년_남_거주자_30~39세","2014년_남_거주자_40~49세","2014년_남_거주자_50~59세","2014년_남_거주자_60~69세","2014년_남_거주자_70~79세","2014년_남_거주자_80~89세","2014년_남_거주자_90~99세","2014년_남_거주자_100세 이상","2014년_여_거주자_총인구수","2014년_여_거주자_연령구간인구수","2014년_여_거주자_0~9세","2014년_여_거주자_10~19세","2014년_여_거주자_20~29세","2014년_여_거주자_30~39세","2014년_여_거주자_40~49세","2014년_여_거주자_50~59세","2014년_여_거주자_60~69세","2014년_여_거주자_70~79세","2014년_여_거주자_80~89세","2014년_여_거주자_90~99세","2014년_여_거주자_100세 이상"
"세종특별자치시 세종특별자치시 세종특별자치시 (3611000000)","112,238","112,238","12,030","12,721","12,771","18,175","17,607","16,309","10,124","8,848","3,232","410","11","57,189","57,189","6,059","6,689","6,940","9,554","9,724","8,572","4,858","3,701","996","94","2","55,049","55,049","5,971","6,032","5,831","8,621","7,883","7,737","5,266","5,147","2,236","316","9","121,267","121,267","13,358","13,533","13,832","19,483","19,909","17,532","10,608","9,032","3,505","464","11","61,745","61,745","6,753","7,049","7,470","10,074","10,997","9,278","5,127","3,815","1,070","109","3","59,522","59,522","6,605","6,484","6,362","9,409","8,912","8,254","5,481","5,217","2,435","355","8","155,274","155,274","19,518","17,146","17,489","27,544","26,545","20,570","12,250","9,619","4,050","529","14","78,423","78,423","9,931","8,827","9,115","13,737","14,502","10,884","5,974","4,060","1,268","123","2","76,851","76,851","9,587","8,319","8,374","13,807","12,043","9,686","6,276","5,559","2,782","406","12"
"세종특별자치시  조치원읍(3611025000)","43,700","43,700","5,158","5,477","5,577","7,724","6,937","5,954","3,429","2,507","833","103","1","22,171","22,171","2,593","2,842","2,950","4,047","3,718","3,029","1,621","1,076","269","26","0","21,529","21,529","2,565","2,635","2,627","3,677","3,219","2,925","1,808","1,431","564","77","1","47,070","47,070","5,580","5,623","6,136","8,272","7,654","6,463","3,659","2,683","883","115","2","23,888","23,888","2,806","2,921","3,226","4,302","4,112","3,316","1,741","1,155","275","34","0","23,182","23,182","2,774","2,702","2,910","3,970","3,542","3,147","1,918","1,528","608","81","2","46,723","46,723","5,315","5,426","6,284","7,805","7,742","6,539","3,792","2,719","977","117","7","23,702","23,702","2,678","2,782","3,306","4,028","4,159","3,381","1,841","1,171","317","38","1","23,021","23,021","2,637","2,644","2,978","3,777","3,583","3,158","1,951","1,548","660","79","6"
"세종특별자치시  연기면(3611031000)","3,065","3,065","154","247","395","343","408","581","373","386","162","16","0","1,576","1,576","76","136","226","200","250","297","190","151","46","4","0","1,489","1,489","78","111","169","143","158","284","183","235","116","12","0","2,779","2,779","150","222","372","304","409","531","346","307","123","15","0","1,469","1,469","82","120","210","173","262","280","176","129","32","5","0","1,310","1,310","68","102","162","131","147","251","170","178","91","10","0","2,681","2,681","147","203","379","290","372","515","340","291","129","15","0","1,417","1,417","79","114","217","161","238","274","170","122","36","6","0","1,264","1,264","68","89","162","129","134","241","170","169","93","9","0"
"세종특별자치시  연동면(3611032000)","3,933","3,933","230","272","439","526","472","734","473","518","244","25","0","1,993","1,993","102","156","234","325","270","406","245","178","73","4","0","1,940","1,940","128","116","205","201","202","328","228","340","171","21","0","3,883","3,883","239","251","415","508","472","732","473","506","254","33","0","1,983","1,983","125","139","222","320","261","406","251","182","73","4","0","1,900","1,900","114","112","193","188","211","326","222","324","181","29","0","3,851","3,851","227","239","431","468","447","726","521","466","290","36","0","1,949","1,949","109","138","222","289","255","397","280","173","84","2","0","1,902","1,902","118","101","209","179","192","329","241","293","206","34","0"
"세종특별자치시  부강면(3611033000)","6,610","6,610","534","694","724","949","1,046","1,105","661","674","205","16","2","3,448","3,448","279","393","411","535","587","579","302","288","72","2","0","3,162","3,162","255","301","313","414","459","526","359","386","133","14","2","6,714","6,714","534","679","719","964","1,059","1,141","681","673","240","23","1","3,509","3,509","279","379","407","557","598","598","308","300","80","3","0","3,205","3,205","255","300","312","407","461","543","373","373","160","20","1","6,715","6,715","474","639","793","881","1,062","1,173","729","673","264","26","1","3,516","3,516","240","349","457","507","618","614","342","292","90","7","0","3,199","3,199","234","290","336","374","444","559","387","381","174","19","1"
"세종특별자치시  금남면(3611034000)","10,313","10,313","615","805","1,202","1,328","1,448","1,871","1,284","1,228","471","58","3","5,326","5,326","313","414","674","781","833","1,000","646","513","139","13","0","4,987","4,987","302","391","528","547","615","871","638","715","332","45","3","10,119","10,119","599","753","1,190","1,278","1,430","1,870","1,276","1,154","504","63","2","5,240","5,240","309","379","662","733","834","1,016","651","496","148","12","0","4,879","4,879","290","374","528","545","596","854","625","658","356","51","2","9,784","9,784","525","668","1,166","1,185","1,355","1,846","1,318","1,114","542","63","2","5,077","5,077","269","341","642","684","803","1,003","682","480","160","13","0","4,707","4,707","256","327","524","501","552","843","636","634","382","50","2"
"세종특별자치시  장군면(3611035000)","4,873","4,873","220","443","616","457","726","920","642","608","216","24","1","2,558","2,558","98","248","365","278","405","492","315","273","76","7","1","2,315","2,315","122","195","251","179","321","428","327","335","140","17","0","5,273","5,273","226","435","747","495","817","1,014","670","607","236","24","2","2,779","2,779","91","247","434","301","485","525","331","269","89","6","1","2,494","2,494","135","188","313","194","332","489","339","338","147","18","1","5,444","5,444","225","421","792","559","808","1,047","679","623","263","26","1","2,875","2,875","93","236","446","343","491","542","340","287","91","5","1","2,569","2,569","132","185","346","216","317","505","339","336","172","21","0"
"세종특별자치시  연서면(3611036000)","7,739","7,739","548","727","824","949","1,030","1,363","980","956","311","49","2","4,015","4,015","277","420","475","542","610","716","464","414","85","12","0","3,724","3,724","271","307","349","407","420","647","516","542","226","37","2","7,656","7,656","484","675","802","919","1,025","1,382","986","978","344","59","2","3,953","3,953","243","378","460","508","615","732","488","418","100","11","0","3,703","3,703","241","297","342","411","410","650","498","560","244","48","2","7,620","7,620","462","632","805","897","1,019","1,387","1,022","961","373","61","1","3,956","3,956","234","358","462","481","617","743","524","402","123","12","0","3,664","3,664","228","274","343","416","402","644","498","559","250","49","1"
"세종특별자치시  전의면(3611037000)","6,888","6,888","469","693","781","846","1,025","1,124","776","799","330","43","2","3,525","3,525","224","366","461","476","581","600","374","334","98","10","1","3,363","3,363","245","327","320","370","444","524","402","465","232","33","1","6,752","6,752","436","662","754","776","1,019","1,147","779","784","356","37","2","3,451","3,451","206","354","433","434","582","614","373","335","107","11","2","3,301","3,301","230","308","321","342","437","533","406","449","249","26","0","6,634","6,634","414","632","750","714","984","1,146","790","788","364","52","0","3,401","3,401","204","342","419","405","558","619","388","335","122","9","0","3,233","3,233","210","290","331","309","426","527","402","453","242","43","0"
"세종특별자치시  전동면(3611038000)","4,041","4,041","124","289","429","398","567","853","579","540","226","36","0","2,167","2,167","68","160","260","244","329","498","303","230","68","7","0","1,874","1,874","56","129","169","154","238","355","276","310","158","29","0","4,024","4,024","129","260","460","360","545","860","602","529","239","40","0","2,150","2,150","70","133","298","221","311","502","300","231","75","9","0","1,874","1,874","59","127","162","139","234","358","302","298","164","31","0","4,037","4,037","129","241","457","364","525","852","643","530","255","41","0","2,171","2,171","65","124","292","230","303","507","322","238","81","9","0","1,866","1,866","64","117","165","134","222","345","321","292","174","32","0"
