"행정구역","2012년_거주자_총인구수","2012년_거주자_연령구간인구수","2012년_거주자_30~39세","2012년_남_거주자_총인구수","2012년_남_거주자_연령구간인구수","2012년_남_거주자_30~39세","2012년_여_거주자_총인구수","2012년_여_거주자_연령구간인구수","2012년_여_거주자_30~39세","2013년_거주자_총인구수","2013년_거주자_연령구간인구수","2013년_거주자_30~39세","2013년_남_거주자_총인구수","2013년_남_거주자_연령구간인구수","2013년_남_거주자_30~39세","2013년_여_거주자_총인구수","2013년_여_거주자_연령구간인구수","2013년_여_거주자_30~39세","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_30~39세","2014년_남_거주자_총인구수","2014년_남_거주자_연령구간인구수","2014년_남_거주자_30~39세","2014년_여_거주자_총인구수","2014년_여_거주자_연령구간인구수","2014년_여_거주자_30~39세","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_30~39세","2015년_남_거주자_총인구수","2015년_남_거주자_연령구간인구수","2015년_남_거주자_30~39세","2015년_여_거주자_총인구수","2015년_여_거주자_연령구간인구수","2015년_여_거주자_30~39세","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_30~39세","2016년_남_거주자_총인구수","2016년_남_거주자_연령구간인구수","2016년_남_거주자_30~39세","2016년_여_거주자_총인구수","2016년_여_거주자_연령구간인구수","2016년_여_거주자_30~39세","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_30~39세","2017년_남_거주자_총인구수","2017년_남_거주자_연령구간인구수","2017년_남_거주자_30~39세","2017년_여_거주자_총인구수","2017년_여_거주자_연령구간인구수","2017년_여_거주자_30~39세"
"세종특별자치시 세종특별자치시 세종특별자치시 (3611000000)","112,238","18,175","18,175","57,189","9,554","9,554","55,049","8,621","8,621","121,267","19,483","19,483","61,745","10,074","10,074","59,522","9,409","9,409","155,274","27,544","27,544","78,423","13,737","13,737","76,851","13,807","13,807","209,946","39,905","39,905","105,267","19,452","19,452","104,679","20,453","20,453","242,038","45,822","45,822","120,995","22,343","22,343","121,043","23,479","23,479","279,046","52,262","52,262","139,207","25,312","25,312","139,839","26,950","26,950"
"세종특별자치시  조치원읍(3611025000)","43,700","7,724","7,724","22,171","4,047","4,047","21,529","3,677","3,677","47,070","8,272","8,272","23,888","4,302","4,302","23,182","3,970","3,970","46,723","7,805","7,805","23,702","4,028","4,028","23,021","3,777","3,777","45,837","7,234","7,234","23,360","3,787","3,787","22,477","3,447","3,447","46,127","7,183","7,183","23,574","3,806","3,806","22,553","3,377","3,377","45,101","6,565","6,565","23,033","3,451","3,451","22,068","3,114","3,114"
"세종특별자치시  연기면(3611031000)","3,065","343","343","1,576","200","200","1,489","143","143","2,779","304","304","1,469","173","173","1,310","131","131","2,681","290","290","1,417","161","161","1,264","129","129","2,505","260","260","1,348","153","153","1,157","107","107","2,681","298","298","1,459","175","175","1,222","123","123","2,723","331","331","1,515","204","204","1,208","127","127"
"세종특별자치시  연동면(3611032000)","3,933","526","526","1,993","325","325","1,940","201","201","3,883","508","508","1,983","320","320","1,900","188","188","3,851","468","468","1,949","289","289","1,902","179","179","3,689","423","423","1,894","256","256","1,795","167","167","3,585","389","389","1,831","230","230","1,754","159","159","3,417","359","359","1,769","211","211","1,648","148","148"
"세종특별자치시  부강면(3611033000)","6,610","949","949","3,448","535","535","3,162","414","414","6,714","964","964","3,509","557","557","3,205","407","407","6,715","881","881","3,516","507","507","3,199","374","374","6,647","863","863","3,503","503","503","3,144","360","360","6,713","837","837","3,560","506","506","3,153","331","331","6,462","765","765","3,457","470","470","3,005","295","295"
"세종특별자치시  금남면(3611034000)","10,313","1,328","1,328","5,326","781","781","4,987","547","547","10,119","1,278","1,278","5,240","733","733","4,879","545","545","9,784","1,185","1,185","5,077","684","684","4,707","501","501","9,681","1,123","1,123","5,046","640","640","4,635","483","483","9,669","1,128","1,128","5,027","638","638","4,642","490","490","9,298","1,014","1,014","4,850","570","570","4,448","444","444"
"세종특별자치시  장군면(3611035000)","4,873","457","457","2,558","278","278","2,315","179","179","5,273","495","495","2,779","301","301","2,494","194","194","5,444","559","559","2,875","343","343","2,569","216","216","5,777","654","654","3,080","417","417","2,697","237","237","6,261","775","775","3,431","505","505","2,830","270","270","6,302","828","828","3,499","545","545","2,803","283","283"
"세종특별자치시  연서면(3611036000)","7,739","949","949","4,015","542","542","3,724","407","407","7,656","919","919","3,953","508","508","3,703","411","411","7,620","897","897","3,956","481","481","3,664","416","416","7,637","891","891","4,004","489","489","3,633","402","402","7,911","912","912","4,173","524","524","3,738","388","388","7,875","874","874","4,197","502","502","3,678","372","372"
"세종특별자치시  전의면(3611037000)","6,888","846","846","3,525","476","476","3,363","370","370","6,752","776","776","3,451","434","434","3,301","342","342","6,634","714","714","3,401","405","405","3,233","309","309","6,565","710","710","3,386","421","421","3,179","289","289","6,427","665","665","3,324","392","392","3,103","273","273","6,255","635","635","3,243","364","364","3,012","271","271"
"세종특별자치시  전동면(3611038000)","4,041","398","398","2,167","244","244","1,874","154","154","4,024","360","360","2,150","221","221","1,874","139","139","4,037","364","364","2,171","230","230","1,866","134","134","4,034","358","358","2,170","222","222","1,864","136","136","3,952","354","354","2,139","225","225","1,813","129","129","3,859","336","336","2,094","217","217","1,765","119","119"
