"행정구역","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율"
"세종특별자치시 세종특별자치시 세종특별자치시 (3611000000)","210,884","81,806","          2.58","105,752","105,132","          1.01","243,048","94,343","          2.58","121,505","121,543","          1.00","280,100","109,490","          2.56","139,734","140,366","          1.00"
"세종특별자치시  조치원읍(3611025000)","46,163","18,730","          2.46","23,523","22,640","          1.04","46,452","19,027","          2.44","23,734","22,718","          1.04","45,413","19,111","          2.38","23,193","22,220","          1.04"
"세종특별자치시  연기면(3611031000)","2,560","1,287","          1.99","1,365","1,195","          1.14","2,736","1,442","          1.90","1,477","1,259","          1.17","2,778","1,487","          1.87","1,533","1,245","          1.23"
"세종특별자치시  연동면(3611032000)","3,727","1,841","          2.02","1,917","1,810","          1.06","3,623","1,798","          2.02","1,853","1,770","          1.05","3,453","1,740","          1.98","1,788","1,665","          1.07"
"세종특별자치시  부강면(3611033000)","6,699","3,063","          2.19","3,527","3,172","          1.11","6,766","3,156","          2.14","3,583","3,183","          1.13","6,509","3,124","          2.08","3,476","3,033","          1.15"
"세종특별자치시  금남면(3611034000)","9,764","4,457","          2.19","5,084","4,680","          1.09","9,750","4,560","          2.14","5,062","4,688","          1.08","9,378","4,565","          2.05","4,887","4,491","          1.09"
"세종특별자치시  장군면(3611035000)","5,814","2,890","          2.01","3,098","2,716","          1.14","6,303","3,282","          1.92","3,455","2,848","          1.21","6,356","3,454","          1.84","3,528","2,828","          1.25"
"세종특별자치시  연서면(3611036000)","7,695","3,561","          2.16","4,035","3,660","          1.10","7,965","3,814","          2.09","4,201","3,764","          1.12","7,929","3,884","          2.04","4,226","3,703","          1.14"
"세종특별자치시  전의면(3611037000)","6,669","3,156","          2.11","3,438","3,231","          1.06","6,530","3,195","          2.04","3,376","3,154","          1.07","6,356","3,178","          2.00","3,294","3,062","          1.08"
"세종특별자치시  전동면(3611038000)","4,118","2,247","          1.83","2,231","1,887","          1.18","4,032","2,219","          1.82","2,196","1,836","          1.20","3,927","2,164","          1.81","2,138","1,789","          1.20"
"세종특별자치시  소정면(3611039000)","2,882","1,307","          2.21","1,486","1,396","          1.06","2,882","1,316","          2.19","1,492","1,390","          1.07","2,834","1,319","          2.15","1,477","1,357","          1.09"
"세종특별자치시  한솔동(3611051000)","21,233","6,873","          3.09","10,398","10,835","          0.96","34,313","11,775","          2.91","16,767","17,546","          0.96","20,057","6,337","          3.17","9,822","10,235","          0.96"
"세종특별자치시  새롬동(3611051500)","0","0","          0.00","0","0","          0.00","","","","","","","23,303","9,171","          2.54","11,307","11,996","          0.94"
"세종특별자치시  도담동(3611052000)","29,138","11,130","          2.62","14,058","15,080","          0.93","31,328","12,096","          2.59","15,103","16,225","          0.93","32,554","12,791","          2.55","15,755","16,799","          0.94"
"세종특별자치시  아름동(3611053000)","64,422","21,264","          3.03","31,592","32,830","          0.96","50,746","16,640","          3.05","24,838","25,908","          0.96","24,431","7,707","          3.17","12,002","12,429","          0.97"
"세종특별자치시  종촌동(3611054000)","0","0","          0.00","0","0","          0.00","29,622","10,023","          2.96","14,368","15,254","          0.94","30,533","10,699","          2.85","14,737","15,796","          0.93"
"세종특별자치시  고운동(3611055000)","0","0","          0.00","0","0","          0.00","","","","","","","26,372","8,926","          2.95","12,864","13,508","          0.95"
"세종특별자치시  보람동(3611056000)","0","0","          0.00","0","0","          0.00","","","","","","","27,917","9,833","          2.84","13,707","14,210","          0.96"
