"행정구역","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_계_10~19세","2023년07월_계_20~29세","2023년07월_계_30~39세","2023년07월_계_40~49세","2023년07월_계_50~59세","2023년07월_계_60~69세","2023년07월_계_70~79세","2023년07월_계_80~89세","2023년07월_계_90~99세","2023년07월_계_100세 이상","2023년07월_남_총인구수","2023년07월_남_연령구간인구수","2023년07월_남_0~9세","2023년07월_남_10~19세","2023년07월_남_20~29세","2023년07월_남_30~39세","2023년07월_남_40~49세","2023년07월_남_50~59세","2023년07월_남_60~69세","2023년07월_남_70~79세","2023년07월_남_80~89세","2023년07월_남_90~99세","2023년07월_남_100세 이상","2023년07월_여_총인구수","2023년07월_여_연령구간인구수","2023년07월_여_0~9세","2023년07월_여_10~19세","2023년07월_여_20~29세","2023년07월_여_30~39세","2023년07월_여_40~49세","2023년07월_여_50~59세","2023년07월_여_60~69세","2023년07월_여_70~79세","2023년07월_여_80~89세","2023년07월_여_90~99세","2023년07월_여_100세 이상"
"전국  (0000000000)","51,387,133","51,387,133","3,415,119","4,674,885","6,284,235","6,588,036","7,988,791","8,631,299","7,571,631","3,907,575","2,025,747","290,813","9,002","25,603,147","25,603,147","1,750,129","2,407,038","3,285,853","3,423,047","4,059,505","4,356,890","3,724,244","1,788,856","740,043","66,016","1,526","25,783,986","25,783,986","1,664,990","2,267,847","2,998,382","3,164,989","3,929,286","4,274,409","3,847,387","2,118,719","1,285,704","224,797","7,476"
"서울특별시  (1100000000)","9,411,260","9,411,260","526,144","741,199","1,373,020","1,427,554","1,431,557","1,490,423","1,313,880","728,424","333,491","44,070","1,498","4,555,784","4,555,784","269,981","378,938","653,607","713,951","708,274","732,881","621,672","329,887","134,651","11,605","337","4,855,476","4,855,476","256,163","362,261","719,413","713,603","723,283","757,542","692,208","398,537","198,840","32,465","1,161"
"부산광역시  (2600000000)","3,305,052","3,305,052","199,654","264,559","385,177","393,281","489,183","539,658","561,300","315,330","139,650","16,806","454","1,611,959","1,611,959","102,412","135,801","197,933","202,548","246,956","263,466","264,556","142,077","52,459","3,679","72","1,693,093","1,693,093","97,242","128,758","187,244","190,733","242,227","276,192","296,744","173,253","87,191","13,127","382"
"대구광역시  (2700000000)","2,379,086","2,379,086","153,424","215,696","287,579","279,895","360,315","418,247","363,150","192,899","95,664","11,954","263","1,169,503","1,169,503","78,529","111,504","151,895","148,881","178,191","204,365","173,745","84,887","34,712","2,762","32","1,209,583","1,209,583","74,895","104,192","135,684","131,014","182,124","213,882","189,405","108,012","60,952","9,192","231"
"인천광역시  (2800000000)","2,981,553","2,981,553","204,597","272,081","368,090","408,639","480,586","511,094","434,957","193,770","92,799","14,419","521","1,491,638","1,491,638","104,910","139,624","191,345","212,873","246,784","254,717","214,947","89,908","33,400","3,024","106","1,489,915","1,489,915","99,687","132,457","176,745","195,766","233,802","256,377","220,010","103,862","59,399","11,395","415"
"광주광역시  (2900000000)","1,424,305","1,424,305","102,694","148,607","194,085","175,029","230,115","239,077","182,493","97,504","47,899","6,583","219","703,548","703,548","52,561","76,785","101,226","90,188","114,637","118,340","87,217","43,193","17,930","1,453","18","720,757","720,757","50,133","71,822","92,859","84,841","115,478","120,737","95,276","54,311","29,969","5,130","201"
"대전광역시  (3000000000)","1,444,898","1,444,898","99,181","138,836","201,460","187,985","223,181","240,762","200,916","97,507","48,005","6,852","213","720,637","720,637","50,935","71,689","105,495","99,143","111,451","120,048","97,376","44,914","17,872","1,681","33","724,261","724,261","48,246","67,147","95,965","88,842","111,730","120,714","103,540","52,593","30,133","5,171","180"
"울산광역시  (3100000000)","1,105,326","1,105,326","81,513","109,461","124,481","138,111","179,361","203,961","167,609","69,636","27,529","3,588","76","567,947","567,947","41,840","57,258","70,563","74,682","92,186","102,711","84,571","33,536","9,922","672","6","537,379","537,379","39,673","52,203","53,918","63,429","87,175","101,250","83,038","36,100","17,607","2,916","70"
"세종특별자치시  (3600000000)","386,192","386,192","44,799","50,085","37,875","60,177","77,356","53,162","36,903","16,169","8,177","1,441","48","192,449","192,449","22,791","25,220","19,306","29,587","38,491","27,832","18,355","7,639","2,934","288","6","193,743","193,743","22,008","24,865","18,569","30,590","38,865","25,330","18,548","8,530","5,243","1,153","42"
"경기도  (4100000000)","13,623,055","13,623,055","1,011,869","1,326,853","1,704,009","1,879,114","2,270,297","2,311,572","1,807,547","832,069","416,806","60,963","1,956","6,854,747","6,854,747","517,818","679,505","897,629","978,643","1,156,625","1,167,278","901,670","383,522","156,897","14,730","430","6,768,308","6,768,308","494,051","647,348","806,380","900,471","1,113,672","1,144,294","905,877","448,547","259,909","46,233","1,526"
